"Transcript_ID"	"Accession_ID"	"species"
"TRINITY_DN49210_c0_g1_i1"	"P47774"	"CCR7_MOUSE"
"TRINITY_DN457741_c0_g1_i1"	"P05112"	"IL4_HUMAN"
"TRINITY_DN300504_c0_g2_i1"	"P10145"	"IL8_HUMAN"
"TRINITY_DN225375_c0_g1_i2"	"P49682"	"CXCR3_HUMAN"
"TRINITY_DN225375_c0_g1_i1"	"P49682"	"CXCR3_HUMAN"
"TRINITY_DN214830_c0_g1_i1"	"P56202"	"CATW_HUMAN"
"TRINITY_DN214830_c0_g1_i2"	"P56202"	"CATW_HUMAN"
"TRINITY_DN353997_c0_g2_i1"	"P60568"	"IL2_HUMAN"
"TRINITY_DN177654_c0_g1_i2"	"P01825"	"HV459_HUMAN"
"TRINITY_DN310137_c0_g1_i1"	"Q53G44"	"IF44L_HUMAN"
"TRINITY_DN434747_c0_g1_i1"	"Q53G44"	"IF44L_HUMAN"
"TRINITY_DN515995_c0_g1_i1"	"Q53G44"	"IF44L_HUMAN"
"TRINITY_DN99087_c1_g1_i3"	"P01589"	"IL2RA_HUMAN"
"TRINITY_DN99087_c1_g1_i4"	"P01589"	"IL2RA_HUMAN"
"TRINITY_DN507982_c0_g1_i1"	"A0A0A6YYC5"	"TVA14_HUMAN"
"TRINITY_DN73164_c0_g1_i2"	"P25774"	"CATS_HUMAN"
"TRINITY_DN172550_c0_g1_i3"	"P23083"	"HV102_HUMAN"
"TRINITY_DN172550_c0_g1_i4"	"P23083"	"HV102_HUMAN"
"TRINITY_DN621373_c0_g1_i1"	"P33076"	"C2TA_HUMAN"
"TRINITY_DN591469_c0_g1_i1"	"O14625"	"CXL11_HUMAN"
"TRINITY_DN447435_c0_g1_i1"	"P43030"	"CXCL7_PIG"
"TRINITY_DN69719_c0_g1_i4"	"P01906"	"DQA2_HUMAN"
"TRINITY_DN326207_c0_g1_i1"	"P13725"	"ONCM_HUMAN"
"TRINITY_DN110911_c0_g1_i3"	"P01726"	"LV1D_MOUSE"
"TRINITY_DN110911_c0_g1_i5"	"P01726"	"LV1D_MOUSE"
"TRINITY_DN110911_c0_g1_i1"	"P01726"	"LV1D_MOUSE"
"TRINITY_DN621652_c0_g1_i1"	"Q9JJ00"	"PLS1_MOUSE"
"TRINITY_DN586660_c0_g1_i1"	"P51685"	"CCR8_HUMAN"
"TRINITY_DN50576_c2_g1_i8"	"P55097"	"CATK_MOUSE"
"TRINITY_DN111283_c0_g2_i2"	"P55097"	"CATK_MOUSE"
"TRINITY_DN513230_c0_g1_i1"	"P22366"	"MYD88_MOUSE"
"TRINITY_DN310199_c0_g1_i1"	"P32249"	"GP183_HUMAN"
"TRINITY_DN491568_c0_g1_i1"	"Q9JM10"	"TNFC_MARMO"
"TRINITY_DN175724_c0_g1_i1"	"Q06265"	"EXOS9_HUMAN"
"TRINITY_DN324592_c0_g1_i2"	"P04433"	"KV311_HUMAN"
"TRINITY_DN295719_c0_g1_i1"	"Q8IYL9"	"PSYR_HUMAN"
"TRINITY_DN309956_c0_g1_i1"	"Q8IYL9"	"PSYR_HUMAN"
"TRINITY_DN160605_c0_g1_i1"	"P01644"	"KV5AB_MOUSE"
"TRINITY_DN276940_c0_g1_i2"	"P03979"	"TRGV3_HUMAN"
"TRINITY_DN75412_c1_g2_i1"	"Q9Z0D9"	"CX3C1_MOUSE"
"TRINITY_DN324592_c1_g1_i1"	"A0A075B6S2"	"KVD29_HUMAN"
"TRINITY_DN324592_c0_g2_i1"	"P01665"	"KV3AD_MOUSE"
"TRINITY_DN19238_c0_g1_i3"	"O62618"	"MK38A_DROME"
"TRINITY_DN552579_c0_g1_i1"	"O54957"	"LAT_MOUSE"
"TRINITY_DN354053_c0_g1_i2"	"O46414"	"FRIH_BOVIN"
"TRINITY_DN23676_c0_g1_i1"	"P01903"	"DRA_HUMAN"
"TRINITY_DN3529_c152_g1_i1"	"D3ZZ07"	"CAT7_RAT"
"TRINITY_DN426432_c0_g1_i1"	"Q99731"	"CCL19_HUMAN"
"TRINITY_DN447788_c0_g1_i1"	"Q9Y6W8"	"ICOS_HUMAN"
"TRINITY_DN146939_c0_g3_i1"	"P01701"	"LV151_HUMAN"
"TRINITY_DN96408_c0_g1_i1"	"P06797"	"CATL1_MOUSE"
"TRINITY_DN390362_c0_g1_i1"	"Q08116"	"RGS1_HUMAN"
"TRINITY_DN390362_c0_g1_i2"	"Q08116"	"RGS1_HUMAN"
"TRINITY_DN578589_c0_g1_i1"	"P32302"	"CXCR5_HUMAN"
"TRINITY_DN49210_c0_g1_i3"	"P32248"	"CCR7_HUMAN"
"TRINITY_DN49210_c0_g1_i4"	"P32248"	"CCR7_HUMAN"
"TRINITY_DN301604_c0_g1_i1"	"P08637"	"FCG3A_HUMAN"
"TRINITY_DN504181_c0_g1_i1"	"P06315"	"KV502_HUMAN"
"TRINITY_DN617914_c0_g1_i1"	"P01732"	"CD8A_HUMAN"
"TRINITY_DN257053_c0_g1_i1"	"P04437"	"TVA29_HUMAN"
"TRINITY_DN467043_c0_g1_i1"	"P01591"	"IGJ_HUMAN"
"TRINITY_DN292143_c0_g1_i1"	"A0A075B6P5"	"KV228_HUMAN"
